ORGANIZATION,TOTAL,PREDICTION
PartyB,110,HIGH
PartyA,1356,MEDIUM
PartyB,7564,LOW
PartyC,5625,LOW
PartyC,5335,LOW
PartyD,5375,LOW
PartyB,1229,MEDIUM
PartyD,7339,LOW
PartyA,-5940,VERY HIGH
PartyD,7984,LOW
PartyB,1030,MEDIUM
PartyD,5228,LOW
PartyA,7806,LOW
PartyA,5855,LOW
PartyB,5970,LOW
PartyD,-200,VERY HIGH
PartyA,6993,LOW
PartyA,6624,LOW
PartyC,-2250,VERY HIGH
PartyD,6330,LOW
PartyA,1800,MEDIUM
PartyC,5597,LOW
PartyA,118,HIGH
PartyC,6232,LOW
PartyA,5060,LOW
PartyB,1570,MEDIUM
PartyB,6877,LOW
PartyC,1379,MEDIUM
PartyD,5140,LOW
PartyA,7103,LOW
PartyA,5103,LOW
PartyA,102,HIGH
PartyA,1460,MEDIUM
PartyD,-150,VERY HIGH
PartyB,1894,MEDIUM
PartyD,-1930,VERY HIGH
PartyC,5132,LOW
PartyC,-250,VERY HIGH
PartyD,6284,LOW
PartyA,2350,MEDIUM
PartyD,174,HIGH
PartyB,6516,LOW
PartyD,6327,LOW
PartyA,1292,MEDIUM
PartyA,5709,LOW
PartyA,5836,LOW
PartyA,-1380,VERY HIGH
PartyB,7986,LOW
PartyA,1018,MEDIUM
PartyB,7085,LOW
PartyB,1561,MEDIUM
PartyD,7389,LOW
PartyB,5786,LOW
PartyC,2343,MEDIUM
PartyB,7152,LOW
PartyB,6385,LOW
PartyB,76,HIGH
PartyB,5555,LOW
PartyB,7175,LOW
PartyC,1280,MEDIUM
PartyA,5362,LOW
PartyB,5200,LOW
PartyA,2056,MEDIUM
PartyD,-290,VERY HIGH
PartyB,1775,MEDIUM
PartyB,6978,LOW
PartyA,145,HIGH
PartyC,1236,MEDIUM
PartyA,7084,LOW
PartyB,-5800,VERY HIGH
PartyC,7498,LOW
PartyA,7148,LOW
PartyB,6726,LOW
PartyC,7632,LOW
PartyC,5849,LOW
PartyC,6596,LOW
PartyD,-1750,VERY HIGH
PartyD,6748,LOW
PartyA,6882,LOW
PartyD,5902,LOW
PartyB,7880,LOW
PartyA,6278,LOW
PartyA,-120,VERY HIGH
PartyB,178,HIGH
PartyC,6050,LOW
PartyC,1698,MEDIUM
PartyC,1211,MEDIUM
PartyA,-4180,VERY HIGH
PartyA,1283,MEDIUM
PartyC,-380,VERY HIGH
PartyA,-2660,VERY HIGH
PartyB,6779,LOW
PartyB,1805,MEDIUM
PartyD,5000,LOW
PartyD,5369,LOW
PartyB,0,HIGH
PartyC,6799,LOW
PartyD,1965,MEDIUM
PartyD,6130,LOW
PartyB,72,HIGH
PartyC,-125,VERY HIGH
PartyB,1,HIGH
PartyD,5246,LOW
PartyB,5796,LOW
PartyB,7184,LOW
PartyB,-1340,VERY HIGH
PartyB,2136,MEDIUM
PartyC,5768,LOW
PartyC,7192,LOW
PartyB,0,HIGH
PartyB,6223,LOW
PartyB,2100,MEDIUM
PartyC,-1480,VERY HIGH
PartyC,5756,LOW
PartyA,1734,MEDIUM
PartyD,7806,LOW
PartyB,7192,LOW
PartyB,7796,LOW
PartyD,1903,MEDIUM
PartyB,2090,MEDIUM
PartyB,1137,MEDIUM
PartyC,-1630,VERY HIGH
PartyC,2284,MEDIUM
PartyB,5510,LOW
PartyC,1000,MEDIUM
PartyD,86,HIGH
PartyD,7972,LOW
PartyB,0,HIGH
PartyC,1188,MEDIUM
PartyA,1866,MEDIUM
PartyC,1982,MEDIUM
PartyD,90,HIGH
PartyB,7676,LOW
PartyB,-1420,VERY HIGH
PartyB,5524,LOW
PartyD,94,HIGH
PartyC,1000,MEDIUM
PartyC,6541,LOW
PartyB,5632,LOW
PartyC,1590,MEDIUM
PartyD,6819,LOW
PartyB,107,HIGH
PartyC,1425,MEDIUM
PartyC,6909,LOW
PartyC,1665,MEDIUM
PartyD,5226,LOW
PartyA,6066,LOW
PartyD,5404,LOW
PartyA,6216,LOW
PartyD,7084,LOW
PartyB,2283,MEDIUM
PartyD,-2230,VERY HIGH
PartyB,5909,LOW
PartyD,5690,LOW
PartyA,5476,LOW
PartyA,6610,LOW
PartyC,6204,LOW
PartyC,5475,LOW
PartyA,5639,LOW
PartyB,6878,LOW
PartyB,-3040,VERY HIGH
PartyD,1255,MEDIUM
PartyA,2352,MEDIUM
PartyA,6446,LOW
PartyC,5426,LOW
PartyA,-2220,VERY HIGH
PartyC,1632,MEDIUM
